weather_model,policy,samples,player_observations,player_failure_rate,player_failure_wilson_low,player_failure_wilson_high,session_failure_rate,session_failure_wilson_low,session_failure_wilson_high,mean_individual_value,mean_individual_ci_low,mean_individual_ci_high,p05_individual_value,role1_mean,role2_mean,role3_mean,role_mean_gap,mean_arrival_day,shared_edge_player_days_per_session,shared_mine_player_days_per_session,solo_mine_player_days_per_session
低沙暴,镜像挖矿,20000,60000,0.95995,0.958351417804874,0.9614896899995058,0.95995,0.9571430668677982,0.9625802791641912,268.33120833333334,257.8167292154958,278.8456874511709,0.0,268.33120833333334,268.33120833333334,268.33120833333334,0.0,8.476903870162298,20.08785,0.06675,0.0
低沙暴,分路直达,20000,60000,0.0,6.776263578034403e-21,6.402021482791953e-05,0.0,0.0,0.00019203605610462553,7820.2795,7819.253864497488,7821.305135502511,7612.5,7837.00925,7837.00925,7786.82,50.18925000000036,8.777233333333333,0.0,0.0,0.0
低沙暴,拥挤感知非合作,20000,60000,0.0798,0.07765852551178543,0.08199527707675597,0.148,0.14314626071019823,0.15298893267329935,7532.589138888889,7514.427858081333,7550.750419696444,0.0,6919.829875,8078.556666666666,7599.380875,1158.726791666666,12.032583496341376,4.0105,9.16995,0.6817
低沙暴,合作轮换,20000,60000,0.033383333333333334,0.03197558547974004,0.0348508269854112,0.05265,0.049639821065578627,0.055831993593818185,8768.56425,8754.311803707054,8782.816696292944,7655.0,8963.598125,8961.84625,8380.248375,583.3497500000012,14.948911150576754,1.6225,0.0,6.59015
基准,镜像挖矿,20000,60000,0.97865,0.9774623827648476,0.9797763306834977,0.97865,0.9765528676459448,0.9805632962375462,142.56,134.83499033054696,150.28500966945305,0.0,142.56,142.56,142.56,0.0,8.573770491803279,19.43925,0.0456,0.0
基准,分路直达,20000,60000,0.00016666666666666666,9.05355280828352e-05,0.00030679668000680837,0.0005,0.000271621145015576,0.0009202228750329448,7767.62625,7766.260809579273,7768.9916904207275,7542.5,7787.42175,7787.42175,7728.03525,59.386500000000524,9.25585930988498,0.0,0.0,0.0
基准,拥挤感知非合作,20000,60000,0.12361666666666667,0.12100708702396432,0.12627443859308432,0.20645,0.20089708192996814,0.21211566243857083,7122.829986111111,7101.102777936833,7144.5571942853885,0.0,6408.509208333334,7804.313666666667,7155.667083333333,1395.804458333333,12.341384097522013,4.02375,8.7429,0.73895
基准,合作轮换,20000,60000,0.06978333333333334,0.06777211586362927,0.0718496359298825,0.1049,0.10072885421065486,0.10922289268087901,8326.596,8307.535836041687,8345.656163958312,0.0,8387.69175,8712.22725,7879.869,832.3582500000002,15.406643613495064,1.9346,0.0,6.4166
不利,镜像挖矿,20000,60000,0.99565,0.9950907426392898,0.9961457941217514,0.99565,0.9946378752462796,0.9964717594113041,28.959083333333332,25.452587297821907,32.46557936884476,0.0,28.959083333333332,28.959083333333332,28.959083333333332,0.0,8.689655172413794,17.93655,0.01545,0.0
不利,分路直达,20000,60000,0.00415,0.003666391135174748,0.0046970977118701,0.00875,0.007550308217387011,0.010138367207735786,7637.4375,7633.314326490338,7641.560673509662,7395.0,7675.379875,7675.379875,7561.55275,113.8271249999998,9.796639386788506,0.0,0.0,0.0
不利,拥挤感知非合作,20000,60000,0.19526666666666667,0.19211436819507735,0.19845798332518647,0.29545,0.2891666522871095,0.3018119096634429,6400.883902777778,6375.419845941255,6426.347959614301,0.0,5571.267291666667,7233.980333333333,6397.404083333333,1662.713041666666,12.366125424571287,4.00595,7.3678,0.8003
不利,合作轮换,20000,60000,0.15663333333333335,0.153747135751183,0.15956349573101317,0.22725,0.22149499433072142,0.2331097613378836,7272.972333333333,7247.382560185883,7298.562106480783,0.0,7191.20875,7916.936125,6710.772125,1206.1639999999998,15.339492510177463,2.37785,0.0,5.67765
